1046,46.75,2,173,11/07/2026,58
1068,153.00,4,186,12/07/2026,62
1208,60.00,2,201,06/07/2026,67
1074,96.50,4,30,10/07/2026,10
1171,72.25,3,63,29/06/2026,21
1169,114.75,3,111,01/07/2026,37
1056,62.50,3,72,04/07/2026,24
1282,75.25,3,62,03/07/2026,21
1210,57.75,3,72,29/06/2026,24
1247,72.50,3,265,30/06/2026,89
1229,63.25,2,256,02/07/2026,86
1182,90.25,3,298,03/07/2026,100
1117,62.50,3,243,09/07/2026,81
1097,97.00,4,65,10/07/2026,22
1213,91.75,3,177,13/07/2026,59
1131,103.00,4,46,12/07/2026,16
1044,36.50,2,163,07/07/2026,55
1243,102.75,3,111,29/06/2026,37
1264,69.75,4,277,03/07/2026,93
1109,43.50,2,230,10/07/2026,77
1276,92.25,1,277,29/06/2026,93
1041,51.75,2,103,05/07/2026,35
1106,89.25,3,273,12/07/2026,91
1027,57.25,3,47,09/07/2026,16
1283,93.00,1,202,30/06/2026,68
1142,59.25,2,77,13/07/2026,26
1042,71.25,3,75,30/06/2026,25
1077,100.75,3,188,15/07/2026,63
1075,52.25,3,50,05/07/2026,17
1298,114.00,3,131,03/07/2026,44
1154,51.00,2,201,03/07/2026,67
1245,78.25,3,268,01/07/2026,90
1053,57.50,1,22,13/07/2026,8
1188,130.25,3,220,05/07/2026,74
1278,77.25,3,204,15/07/2026,68
1086,80.50,3,211,29/06/2026,71
1019,40.00,3,300,29/06/2026,1
1219,67.57,6,163,01/07/2026,55
1277,163.75,4,284,11/07/2026,95
1210,135.25,3,288,12/07/2026,96
1254,89.00,3,93,01/07/2026,31
1239,62.25,1,115,06/07/2026,39
1217,48.75,1,218,11/07/2026,73
1248,47.50,2,256,04/07/2026,86
1065,64.25,3,253,07/07/2026,85
1177,64.00,2,181,08/07/2026,61
1082,145.50,4,106,10/07/2026,36
1295,81.00,2,277,29/06/2026,93
1167,61.75,2,210,14/07/2026,70
1060,79.75,3,108,05/07/2026,36
1002,58.00,2,15,10/07/2026,45
1120,67.25,1,267,05/07/2026,89
1192,74.75,2,298,06/07/2026,100
1280,50.75,2,298,04/07/2026,100
1020,88.00,5,10,14/07/2026,1
1193,73.50,3,149,07/07/2026,50
1264,70.00,3,279,14/07/2026,93
1001,305.50,4,160,15/07/2026,34
1185,112.00,3,222,30/06/2026,74
1125,79.50,3,213,29/06/2026,71
1135,133.25,3,182,30/06/2026,61
1202,94.50,3,217,12/07/2026,73
1079,104.00,3,145,30/06/2026,49
1259,94.00,3,73,02/07/2026,25
1065,110.00,3,46,11/07/2026,16
1085,54.75,1,47,05/07/2026,16
1270,51.50,4,149,12/07/2026,50
1030,98.25,3,9,04/07/2026,3
1234,133.50,4,170,11/07/2026,57
1128,108.25,3,198,05/07/2026,66
1293,48.25,2,261,03/07/2026,87
1255,37.25,2,228,09/07/2026,76
1050,75.25,1,133,15/07/2026,45
1221,190.50,4,299,13/07/2026,100
1179,71.75,3,73,01/07/2026,25
1066,72.75,3,175,09/07/2026,59
1113,65.75,3,248,13/07/2026,83
1266,90.50,3,211,12/07/2026,71
1046,48.50,2,122,12/07/2026,41
1029,130.25,3,110,10/07/2026,37
1088,80.25,3,275,02/07/2026,92
1237,127.75,3,185,03/07/2026,62
1253,40.25,2,217,13/07/2026,73
1072,38.25,2,294,07/07/2026,98
1086,157.75,4,181,13/07/2026,61
1017,82.00,3,40,30/06/2026,7
1186,69.75,2,138,08/07/2026,46
1297,81.00,2,7,07/07/2026,3
1222,83.25,1,97,09/07/2026,33
1211,54.25,3,78,02/07/2026,26
1072,56.50,2,100,12/07/2026,34
1177,58.50,1,156,03/07/2026,52
1156,50.50,2,32,10/07/2026,11
1273,75.50,1,77,14/07/2026,26
1118,37.00,2,5,15/07/2026,2
1014,45.00,3,50,11/07/2026,38
1100,86.00,4,95,30/06/2026,32
1016,110.00,4,130,15/07/2026,49
1087,100.25,3,191,30/06/2026,64
1180,92.25,3,215,02/07/2026,72
1255,151.50,4,97,15/07/2026,33
1014,59.00,2,100,29/06/2026,5
1052,81.00,4,47,04/07/2026,16
1286,68.50,3,97,11/07/2026,33
1174,78.00,3,261,01/07/2026,87
1252,50.75,2,246,06/07/2026,82
1260,90.00,1,276,14/07/2026,92
1069,54.00,1,132,05/07/2026,44
1112,111.25,3,200,03/07/2026,67
1240,42.25,2,85,05/07/2026,29
1277,106.75,4,172,03/07/2026,58
1142,132.25,4,112,08/07/2026,38
1213,42.25,2,222,12/07/2026,74
1026,62.00,2,201,08/07/2026,67
1172,57.75,2,66,10/07/2026,22
1019,20.00,4,60,08/07/2026,24
1087,106.25,3,130,06/07/2026,44
1132,99.75,3,252,11/07/2026,84
1221,-20.61,3,176,04/07/2026,59
1017,160.00,4,105,09/07/2026,29
1269,51.50,3,83,07/07/2026,28
1144,72.50,3,249,13/07/2026,83
1110,97.25,3,238,12/07/2026,80
1073,42.50,4,235,07/07/2026,79
1154,110.25,3,36,01/07/2026,12
1131,193.25,4,184,06/07/2026,62
1117,57.75,3,92,08/07/2026,31
1236,81.50,2,233,12/07/2026,78
1258,132.25,4,189,07/07/2026,63
1039,80.50,2,13,05/07/2026,5
1137,38.75,2,154,10/07/2026,52
1213,59.00,3,17,07/07/2026,6
1091,56.75,3,35,03/07/2026,12
1031,61.00,3,216,02/07/2026,72
1057,76.50,3,52,05/07/2026,18
1101,490.74,3,254,13/07/2026,85
1054,36.75,4,132,13/07/2026,44
1011,70.00,1,20,30/06/2026,2
1165,139.50,4,243,10/07/2026,81
1124,42.75,2,257,11/07/2026,86
1044,49.00,2,260,06/07/2026,87
1143,97.75,4,93,03/07/2026,31
1172,48.50,2,59,29/06/2026,20
1201,57.25,4,148,02/07/2026,50
1170,56.00,1,195,13/07/2026,65
1053,95.25,3,208,29/06/2026,70
1158,82.75,3,224,05/07/2026,75
1161,87.50,4,33,07/07/2026,11
1287,45.00,2,292,04/07/2026,98
1009,65.00,2,290,15/07/2026,52
1104,-5.54,2,170,15/07/2026,57
1262,109.75,1,240,13/07/2026,80
1134,103.75,3,199,11/07/2026,67
1064,41.00,2,182,02/07/2026,61
1138,119.75,4,155,08/07/2026,52
1125,108.00,4,128,14/07/2026,43
1161,126.00,4,143,10/07/2026,48
1299,57.50,2,129,13/07/2026,43
1283,90.25,1,127,02/07/2026,43
1292,137.50,4,60,14/07/2026,20
1147,104.00,3,40,30/06/2026,14
1218,68.00,2,156,12/07/2026,52
1083,47.25,2,148,01/07/2026,50
1056,106.00,3,195,06/07/2026,65
1160,144.25,3,195,11/07/2026,65
1178,93.25,4,1,01/07/2026,1
1050,118.27,6,104,04/07/2026,35
1236,46.75,2,166,09/07/2026,56
1291,130.25,4,225,30/06/2026,75
1136,106.50,3,206,15/07/2026,69
1123,85.00,3,20,09/07/2026,7
1001,165.00,4,180,30/06/2026,20
1045,82.50,3,254,12/07/2026,85
1131,126.75,3,157,30/06/2026,53
1012,75.00,1,100,29/06/2026,1
1259,51.25,2,37,15/07/2026,13
1006,130.00,4,30,03/07/2026,9
1259,122.00,4,278,15/07/2026,93
1188,61.00,4,235,08/07/2026,79
1094,56.75,2,207,10/07/2026,69
1148,74.75,2,12,29/06/2026,4
1216,54.25,2,71,08/07/2026,24
1149,42.00,2,109,11/07/2026,37
1018,30.00,1,15,13/07/2026,6
1051,93.50,1,294,12/07/2026,98
1010,100.00,3,50,29/06/2026,6
1268,131.00,3,225,29/06/2026,75
1288,55.50,2,1,07/07/2026,1
1124,421.77,2,69,08/07/2026,23
1111,67.00,3,23,04/07/2026,8
1109,38.25,2,49,04/07/2026,17
1150,78.25,3,194,29/06/2026,65
1221,189.00,4,224,07/07/2026,75
1050,85.25,4,214,11/07/2026,72
1045,46.00,2,57,10/07/2026,19
1226,39.00,2,103,11/07/2026,35
1275,83.50,3,131,14/07/2026,44
1290,81.50,3,215,10/07/2026,72
1090,307.02,3,134,12/07/2026,45
1022,57.25,1,243,02/07/2026,81
1272,65.25,1,211,15/07/2026,71
